Product Name,Shop,Order Date,Order Quantity
Refrigerator,shop1,2024-05-15 00:00:00,9.0
Refrigerator,shop3,2024-05-15 00:00:00,9.0
Jeans,shop2,2024-05-15 00:00:00,7.0
Jeans,shop3,2024-05-15 00:00:00,3.0
Bed,shop1,2024-05-15 00:00:00,10.0
Television,shop1,2024-05-15 00:00:00,11.0
Coffee Maker,shop1,2024-05-15 00:00:00,160.0
Laptop,shop1,2024-05-15 00:00:00,14.0
Laptop,shop2,2024-05-15 00:00:00,8.0
Laptop,shop3,2024-05-15 00:00:00,11.0
Sofa,shop1,2024-05-15,2.0
Sofa,shop2,2024-05-15,6.0
Sofa,shop3,2024-05-15,9.0
Blender,shop1,2024-05-15,8.0
Blender,shop2,2024-05-15,15.0
Blender,shop3,2024-05-15,14.0
