Vendor_Name,Product,Max_Capacity,Delivery_Time,Cost,Market_Price,Reliability_Rating
FastShip Inc,Sofa,50,36,250.00,399.99,0.95
QuickDeliver,Sofa,30,24,275.00,399.99,0.92
BulkSupply Co,Sofa,100,48,230.00,399.99,0.88
LuxuryGoods,Sofa,20,18,300.00,399.99,0.97
EcoFriendly Supplies,Sofa,40,42,260.00,399.99,0.91
MegaVendor,Television,200,24,180.00,299.99,0.94
ElectroShip,Television,150,18,195.00,299.99,0.93
TechDelivery,Television,250,30,175.00,299.99,0.91
ScreenMasters,Television,100,12,210.00,299.99,0.96
GlobalGadgets,Television,300,36,170.00,299.99,0.89
DreamSleep,Bed,30,48,400.00,699.99,0.96
ComfyExpress,Bed,50,36,380.00,699.99,0.93
BedBulk,Bed,80,60,350.00,699.99,0.90
SleepWell Inc,Bed,40,24,420.00,699.99,0.97
NightRestSuppliers,Bed,60,42,375.00,699.99,0.92
ToastMaster,Toaster,500,12,15.00,29.99,0.95
KitchenExperts,Toaster,400,8,17.50,29.99,0.97
ApplianceKing,Toaster,600,18,14.00,29.99,0.93
HomeGoods,Toaster,300,6,18.50,29.99,0.98
BudgetAppliances,Toaster,700,24,13.00,29.99,0.91
CoffeeExpress,Coffee Maker,300,18,25.00,49.99,0.96
BrewMasters,Coffee Maker,250,12,27.50,49.99,0.98
MorningBoost,Coffee Maker,400,24,23.00,49.99,0.94
CaffeineKing,Coffee Maker,200,8,29.00,49.99,0.97
HomeBarista,Coffee Maker,350,20,24.50,49.99,0.95
FashionForward,T-Shirt,2000,24,5.00,14.99,0.93
BulkClothing,T-Shirt,5000,48,4.00,14.99,0.89
QuickStitch,T-Shirt,1500,12,6.00,14.99,0.96
EcoWear,T-Shirt,1000,36,5.50,14.99,0.94
TrendSetters,T-Shirt,3000,30,4.50,14.99,0.92
TechGiants,Laptop,100,36,450.00,799.99,0.97
ComputerWorld,Laptop,150,48,425.00,799.99,0.95
DigitalExpress,Laptop,80,24,475.00,799.99,0.98
